draw,repeats,neighbors,max_zone,date,rolling_repeats,rolling_neighbors,rolling_max_zone
96000041,1,1,3,2007-02-26,1.0,1.8,2.8
96000042,1,1,2,2007-02-27,1.0,1.8,2.7
96000043,1,2,2,2007-02-28,1.0,1.7,2.6
96000044,0,1,3,2007-03-01,0.9,1.6,2.6
96000045,0,0,2,2007-03-02,0.7,1.3,2.4
96000046,0,1,3,2007-03-05,0.5,1.4,2.5
96000047,1,1,3,2007-03-06,0.6,1.4,2.6
96000048,3,0,2,2007-03-07,0.9,1.2,2.6
96000049,1,3,2,2007-03-08,0.9,1.2,2.5
96000050,1,1,3,2007-03-09,0.9,1.1,2.5
96000051,1,0,2,2007-03-12,0.9,1.0,2.4
96000052,0,2,3,2007-03-13,0.8,1.1,2.5
96000053,3,0,2,2007-03-14,1.0,0.9,2.5
96000054,0,1,2,2007-03-15,1.0,0.9,2.4
96000055,1,2,2,2007-03-16,1.1,1.1,2.4
96000056,0,1,2,2007-03-19,1.1,1.1,2.3
96000057,0,0,3,2007-03-20,1.0,1.0,2.3
96000058,1,0,3,2007-03-21,0.8,1.0,2.4
96000059,1,2,2,2007-03-22,0.8,0.9,2.4
96000060,0,0,2,2007-03-23,0.7,0.8,2.3
96000061,1,1,4,2007-03-26,0.7,0.9,2.5
96000062,1,1,3,2007-03-27,0.8,0.8,2.5
96000063,1,1,3,2007-03-28,0.6,0.9,2.6
96000064,0,3,2,2007-03-29,0.6,1.1,2.6
96000065,1,1,2,2007-03-30,0.6,1.0,2.6
96000066,1,2,2,2007-04-02,0.7,1.1,2.6
96000067,0,0,3,2007-04-03,0.7,1.1,2.6
96000068,0,1,3,2007-04-04,0.6,1.2,2.6
96000069,0,1,3,2007-04-05,0.5,1.1,2.7
96000070,1,0,3,2007-04-06,0.6,1.1,2.8
96000071,1,3,4,2007-04-09,0.6,1.3,2.8
96000072,2,0,3,2007-04-10,0.7,1.2,2.8
96000073,1,1,3,2007-04-11,0.7,1.2,2.8
96000074,1,1,3,2007-04-12,0.8,1.0,2.9
96000075,0,1,3,2007-04-13,0.7,1.0,3.0
96000076,0,3,3,2007-04-16,0.6,1.1,3.1
96000077,0,0,2,2007-04-17,0.6,1.1,3.0
96000078,0,2,2,2007-04-18,0.6,1.2,2.9
96000079,1,0,3,2007-04-19,0.7,1.1,2.9
96000080,1,1,2,2007-04-20,0.7,1.2,2.8
96000081,0,2,4,2007-04-23,0.6,1.1,2.8
96000082,0,3,4,2007-04-24,0.4,1.4,2.9
96000083,0,1,2,2007-04-25,0.3,1.4,2.8
96000084,1,0,2,2007-04-26,0.3,1.3,2.7
96000085,1,1,2,2007-04-27,0.4,1.3,2.6
96000086,0,1,3,2007-04-30,0.4,1.1,2.6
96000087,0,0,2,2007-05-01,0.4,1.1,2.6
96000088,2,1,3,2007-05-02,0.6,1.0,2.7
96000089,1,1,2,2007-05-03,0.6,1.1,2.6
96000090,0,0,4,2007-05-04,0.5,1.0,2.8
96000091,1,1,2,2007-05-07,0.6,0.9,2.6
96000092,1,1,2,2007-05-08,0.7,0.7,2.4
96000093,0,1,3,2007-05-09,0.7,0.7,2.5
96000094,1,2,4,2007-05-10,0.7,0.9,2.7
96000095,1,4,5,2007-05-11,0.7,1.2,3.0
96000096,0,1,3,2007-05-14,0.7,1.2,3.0
96000097,0,3,3,2007-05-15,0.7,1.5,3.1
96000098,1,1,3,2007-05-16,0.6,1.5,3.1
96000099,0,0,4,2007-05-17,0.5,1.4,3.3
96000100,1,1,2,2007-05-18,0.6,1.5,3.1
96000101,1,0,4,2007-05-21,0.6,1.4,3.3
96000102,0,0,2,2007-05-22,0.5,1.3,3.3
96000103,1,1,2,2007-05-23,0.6,1.3,3.2
96000104,1,2,3,2007-05-24,0.6,1.3,3.1
96000105,2,0,2,2007-05-25,0.7,0.9,2.8
96000106,1,1,3,2007-05-28,0.8,0.9,2.8
96000107,1,0,2,2007-05-29,0.9,0.6,2.7
96000108,0,0,3,2007-05-30,0.8,0.5,2.7
96000109,2,2,4,2007-05-31,1.0,0.7,2.7
96000110,1,0,4,2007-06-01,1.0,0.6,2.9
96000111,2,1,3,2007-06-04,1.1,0.7,2.8
96000112,0,3,2,2007-06-05,1.1,1.0,2.8
96000113,0,1,2,2007-06-06,1.0,1.0,2.8
96000114,2,2,3,2007-06-07,1.1,1.0,2.8
96000115,2,0,3,2007-06-08,1.1,1.0,2.9
96000116,1,0,3,2007-06-11,1.1,0.9,2.9
96000117,1,1,2,2007-06-12,1.1,1.0,2.9
96000118,0,0,3,2007-06-13,1.1,1.0,2.9
96000119,0,1,3,2007-06-14,0.9,0.9,2.8
96000120,1,2,2,2007-06-15,0.9,1.1,2.6
96000121,2,1,4,2007-06-18,0.9,1.1,2.7
96000122,0,2,4,2007-06-19,0.9,1.0,2.9
96000123,0,2,3,2007-06-20,0.9,1.1,3.0
96000124,0,1,3,2007-06-21,0.7,1.0,3.0
96000125,0,1,3,2007-06-22,0.5,1.1,3.0
96000126,2,2,4,2007-06-25,0.6,1.3,3.1
96000127,0,2,2,2007-06-26,0.5,1.4,3.1
96000128,0,2,3,2007-06-27,0.5,1.6,3.1
96000129,0,2,2,2007-06-28,0.5,1.7,3.0
96000130,0,2,4,2007-06-29,0.4,1.7,3.2
96000131,0,1,2,2007-07-02,0.2,1.7,3.0
96000132,0,0,4,2007-07-03,0.2,1.5,3.0
96000133,1,1,3,2007-07-04,0.3,1.4,3.0
96000134,0,1,3,2007-07-05,0.3,1.4,3.0
96000135,0,0,4,2007-07-06,0.3,1.3,3.1
96000136,2,2,2,2007-07-09,0.3,1.3,2.9
96000137,2,0,3,2007-07-10,0.5,1.1,3.0
96000138,2,1,3,2007-07-11,0.7,1.0,3.0
96000139,0,2,2,2007-07-12,0.7,1.0,3.0
96000140,0,3,2,2007-07-13,0.7,1.1,2.8
96000141,0,0,3,2007-07-16,0.7,1.0,2.9
96000142,0,2,2,2007-07-17,0.7,1.2,2.7
96000143,0,1,2,2007-07-18,0.6,1.2,2.6
96000144,1,0,2,2007-07-19,0.7,1.1,2.5
96000145,0,2,3,2007-07-20,0.7,1.3,2.4
96000146,0,1,2,2007-07-23,0.5,1.2,2.4
96000147,0,2,2,2007-07-24,0.3,1.4,2.3
96000148,1,0,3,2007-07-25,0.2,1.3,2.3
96000149,0,1,2,2007-07-26,0.2,1.2,2.3
96000150,0,2,3,2007-07-27,0.2,1.1,2.4
96000151,2,2,3,2007-07-30,0.4,1.3,2.4
96000152,0,2,2,2007-07-31,0.4,1.3,2.4
96000153,0,1,3,2007-08-01,0.4,1.3,2.5
96000154,1,1,2,2007-08-02,0.4,1.4,2.5
96000155,0,1,4,2007-08-03,0.4,1.3,2.6
96000156,2,2,3,2007-08-06,0.6,1.4,2.7
96000157,1,1,2,2007-08-07,0.7,1.3,2.7
96000158,0,1,3,2007-08-08,0.6,1.4,2.7
96000159,0,0,2,2007-08-09,0.6,1.3,2.7
96000160,0,0,3,2007-08-10,0.6,1.1,2.7
96000161,0,1,2,2007-08-13,0.4,1.0,2.6
96000162,1,1,3,2007-08-14,0.5,0.9,2.7
96000163,0,1,3,2007-08-15,0.5,0.9,2.7
96000164,1,1,3,2007-08-16,0.5,0.9,2.8
96000165,2,1,2,2007-08-17,0.7,0.9,2.6
96000166,1,2,3,2007-08-20,0.6,0.9,2.6
96000167,1,1,2,2007-08-21,0.6,0.9,2.6
96000168,0,0,2,2007-08-22,0.6,0.8,2.5
96000169,0,2,2,2007-08-23,0.6,1.0,2.5
96000170,2,0,3,2007-08-24,0.8,1.0,2.5
96000171,1,0,2,2007-08-27,0.9,0.9,2.5
96000172,1,0,2,2007-08-28,0.9,0.8,2.4
96000173,0,1,3,2007-08-29,0.9,0.8,2.4
96000174,1,1,2,2007-08-30,0.9,0.8,2.3
96000175,1,2,3,2007-08-31,0.8,0.9,2.4
96000176,1,0,2,2007-09-03,0.8,0.7,2.3
96000177,2,0,2,2007-09-04,0.9,0.6,2.3
96000178,0,1,4,2007-09-05,0.9,0.7,2.5
96000179,2,1,3,2007-09-06,1.1,0.6,2.6
96000180,1,1,2,2007-09-07,1.0,0.7,2.5
96000181,2,0,3,2007-09-10,1.1,0.7,2.6
96000182,0,2,3,2007-09-11,1.0,0.9,2.7
96000183,1,0,2,2007-09-12,1.1,0.8,2.6
96000184,1,0,3,2007-09-13,1.1,0.7,2.7
96000185,0,1,2,2007-09-14,1.0,0.6,2.6
96000186,1,2,4,2007-09-17,1.0,0.8,2.8
96000187,1,2,3,2007-09-18,0.9,1.0,2.9
96000188,1,0,2,2007-09-19,1.0,0.9,2.7
96000189,0,2,3,2007-09-20,0.8,1.0,2.7
96000190,0,2,2,2007-09-21,0.7,1.1,2.7
96000191,0,1,3,2007-09-24,0.5,1.2,2.7
96000192,1,2,2,2007-09-25,0.6,1.2,2.6
96000193,0,1,4,2007-09-26,0.5,1.3,2.8
96000194,1,1,3,2007-09-27,0.5,1.4,2.8
96000195,0,1,2,2007-09-28,0.5,1.4,2.8
96000196,0,0,4,2007-10-01,0.4,1.2,2.8
96000197,0,1,3,2007-10-02,0.3,1.1,2.8
96000198,2,1,4,2007-10-03,0.4,1.2,3.0
96000199,1,2,2,2007-10-04,0.5,1.2,2.9
96000200,0,2,2,2007-10-05,0.5,1.2,2.9
96000201,1,0,4,2007-10-08,0.6,1.1,3.0
96000202,0,1,3,2007-10-09,0.5,1.0,3.1
96000203,1,2,2,2007-10-10,0.6,1.1,2.9
96000204,0,2,3,2007-10-11,0.5,1.2,2.9
96000205,1,1,3,2007-10-12,0.6,1.2,3.0
96000206,1,1,2,2007-10-15,0.7,1.3,2.8
96000207,0,1,3,2007-10-16,0.7,1.3,2.8
96000208,0,2,3,2007-10-17,0.5,1.4,2.7
96000209,0,1,2,2007-10-18,0.4,1.3,2.7
96000210,1,2,3,2007-10-19,0.5,1.3,2.8
96000211,0,2,2,2007-10-22,0.4,1.5,2.6
96000212,0,1,3,2007-10-23,0.4,1.5,2.6
96000213,1,1,2,2007-10-24,0.4,1.4,2.6
96000214,1,1,2,2007-10-25,0.5,1.3,2.5
96000215,0,2,3,2007-10-26,0.4,1.4,2.5
96000216,1,0,2,2007-10-29,0.4,1.3,2.5
96000217,2,2,3,2007-10-30,0.6,1.4,2.5
96000218,0,2,3,2007-10-31,0.6,1.4,2.5
96000219,0,2,2,2007-11-01,0.6,1.5,2.5
96000220,1,1,3,2007-11-02,0.6,1.4,2.5
96000221,1,1,3,2007-11-05,0.7,1.3,2.6
96000222,1,2,3,2007-11-06,0.8,1.4,2.6
96000223,0,0,2,2007-11-07,0.7,1.3,2.6
96000224,0,1,3,2007-11-08,0.6,1.3,2.7
96000225,1,1,2,2007-11-09,0.7,1.2,2.6
96000226,1,1,5,2007-11-12,0.7,1.3,2.9
96000227,0,1,2,2007-11-13,0.5,1.2,2.8
96000228,0,0,2,2007-11-14,0.5,1.0,2.7
96000229,0,0,3,2007-11-15,0.5,0.8,2.8
96000230,0,1,3,2007-11-16,0.4,0.8,2.8
96000231,2,1,4,2007-11-19,0.5,0.8,2.9
96000232,1,0,3,2007-11-20,0.5,0.6,2.9
96000233,0,1,2,2007-11-21,0.5,0.7,2.9
96000234,1,0,2,2007-11-22,0.6,0.6,2.8
96000235,0,3,2,2007-11-23,0.5,0.8,2.8
96000236,0,2,2,2007-11-26,0.4,0.9,2.5
96000237,3,1,3,2007-11-27,0.7,0.9,2.6
96000238,1,2,3,2007-11-28,0.8,1.1,2.7
96000239,0,3,2,2007-11-29,0.8,1.4,2.6
96000240,0,0,3,2007-11-30,0.8,1.3,2.6
96000241,1,2,2,2007-12-03,0.7,1.4,2.4
96000242,1,1,3,2007-12-04,0.7,1.5,2.4
96000243,2,0,4,2007-12-05,0.9,1.4,2.6
96000244,1,0,3,2007-12-06,0.9,1.4,2.7
96000245,0,2,4,2007-12-07,0.9,1.3,2.9
96000246,0,0,2,2007-12-10,0.9,1.1,2.9
96000247,0,1,4,2007-12-11,0.6,1.1,3.0
96000248,0,2,3,2007-12-12,0.5,1.1,3.0
96000249,0,1,2,2007-12-13,0.5,0.9,3.0
96000250,0,1,2,2007-12-14,0.5,1.0,2.9
96000251,1,1,3,2007-12-17,0.5,0.9,3.0
96000252,1,1,2,2007-12-18,0.5,0.9,2.9
96000253,1,1,3,2007-12-19,0.4,1.0,2.8
96000254,1,0,2,2007-12-20,0.4,1.0,2.7
96000255,1,1,3,2007-12-21,0.5,0.9,2.6
96000256,1,3,4,2007-12-24,0.6,1.2,2.8
96000257,0,0,3,2007-12-25,0.6,1.1,2.7
96000258,0,1,2,2007-12-26,0.6,1.0,2.6
96000259,1,1,3,2007-12-27,0.7,1.0,2.7
96000260,1,1,2,2007-12-28,0.8,1.0,2.7
96000261,0,0,2,2007-12-31,0.7,0.9,2.6
97000001,2,2,3,2008-01-01,0.8,1.0,2.7
97000002,0,2,3,2008-01-02,0.7,1.1,2.7
97000003,0,0,4,2008-01-03,0.6,1.1,2.9
97000004,1,1,2,2008-01-04,0.6,1.1,2.8
97000005,0,3,3,2008-01-07,0.5,1.1,2.7
97000006,1,4,2,2008-01-08,0.6,1.5,2.6
97000007,1,1,2,2008-01-09,0.7,1.5,2.6
97000008,0,1,3,2008-01-10,0.6,1.5,2.6
97000009,1,0,3,2008-01-11,0.6,1.4,2.7
97000010,1,0,3,2008-01-14,0.7,1.4,2.8
97000011,0,1,3,2008-01-15,0.5,1.3,2.8
97000012,1,1,3,2008-01-16,0.6,1.2,2.8
97000013,0,0,3,2008-01-17,0.6,1.2,2.7
97000014,0,1,3,2008-01-18,0.5,1.2,2.8
97000015,0,0,2,2008-01-21,0.5,0.9,2.7
97000016,2,0,3,2008-01-22,0.6,0.5,2.8
97000017,2,1,4,2008-01-23,0.7,0.5,3.0
97000018,1,1,3,2008-01-24,0.8,0.5,3.0
97000019,1,1,3,2008-01-25,0.8,0.6,3.0
97000020,1,0,3,2008-01-28,0.8,0.6,3.0
97000021,0,2,4,2008-01-29,0.8,0.7,3.1
97000022,1,1,2,2008-01-30,0.8,0.7,3.0
97000023,2,2,2,2008-01-31,1.0,0.9,2.9
97000024,0,3,2,2008-02-01,1.0,1.1,2.8
97000025,3,0,2,2008-02-04,1.3,1.1,2.8
97000026,0,1,3,2008-02-05,1.1,1.2,2.8
97000027,2,1,2,2008-02-06,1.1,1.2,2.6
97000028,1,3,4,2008-02-07,1.1,1.4,2.7
97000029,1,1,3,2008-02-08,1.1,1.4,2.7
97000030,1,1,2,2008-02-11,1.1,1.5,2.6
97000031,1,2,3,2008-02-12,1.2,1.5,2.5
97000032,1,1,4,2008-02-13,1.2,1.5,2.7
97000033,1,1,3,2008-02-14,1.1,1.4,2.8
97000034,1,0,2,2008-02-15,1.2,1.1,2.8
97000035,0,0,4,2008-02-18,0.9,1.1,3.0
97000036,0,1,2,2008-02-19,0.9,1.1,2.9
97000037,2,0,3,2008-02-20,0.9,1.0,3.0
97000038,0,2,2,2008-02-21,0.8,0.9,2.8
97000039,1,3,3,2008-02-22,0.8,1.1,2.8
97000040,1,2,2,2008-02-25,0.8,1.2,2.8
97000041,0,2,5,2008-02-26,0.7,1.2,3.0
97000042,0,2,3,2008-02-27,0.6,1.3,2.9
97000043,1,0,3,2008-02-28,0.6,1.2,2.9
97000044,0,1,3,2008-02-29,0.5,1.3,3.0
97000045,0,0,4,2008-03-03,0.5,1.3,3.0
97000046,1,4,3,2008-03-04,0.6,1.6,3.1
97000047,0,2,3,2008-03-05,0.4,1.8,3.1
97000048,1,3,3,2008-03-06,0.5,1.9,3.2
97000049,1,0,2,2008-03-07,0.5,1.6,3.1
97000050,0,1,2,2008-03-10,0.4,1.5,3.1
97000051,2,2,3,2008-03-11,0.6,1.5,2.9
97000052,0,1,3,2008-03-12,0.6,1.4,2.9
97000053,0,0,2,2008-03-13,0.5,1.4,2.8
97000054,0,1,2,2008-03-14,0.5,1.4,2.7
97000055,2,0,2,2008-03-17,0.7,1.4,2.5
97000056,2,1,2,2008-03-18,0.8,1.1,2.4
97000057,0,3,3,2008-03-19,0.8,1.2,2.4
97000058,0,2,2,2008-03-20,0.7,1.1,2.3
97000059,1,3,2,2008-03-21,0.7,1.4,2.3
97000060,1,2,2,2008-03-24,0.8,1.5,2.3
97000061,1,3,3,2008-03-25,0.7,1.6,2.3
97000062,0,2,3,2008-03-26,0.7,1.7,2.3
97000063,0,1,3,2008-03-27,0.7,1.8,2.4
97000064,1,0,3,2008-03-28,0.8,1.7,2.5
97000065,0,3,3,2008-03-31,0.6,2.0,2.6
97000066,1,0,2,2008-04-01,0.5,1.9,2.6
97000067,0,0,3,2008-04-02,0.5,1.6,2.6
97000068,1,0,3,2008-04-03,0.6,1.4,2.7
97000069,1,2,2,2008-04-04,0.6,1.3,2.7
97000070,0,2,3,2008-04-07,0.5,1.3,2.8
97000071,1,2,2,2008-04-08,0.5,1.2,2.7
97000072,1,1,2,2008-04-09,0.6,1.1,2.6
97000073,1,1,3,2008-04-10,0.7,1.1,2.6
97000074,1,1,3,2008-04-11,0.7,1.2,2.6
97000075,0,1,3,2008-04-14,0.7,1.0,2.6
97000076,1,1,3,2008-04-15,0.7,1.1,2.7
97000077,1,1,3,2008-04-16,0.8,1.2,2.7
97000078,1,1,2,2008-04-17,0.8,1.3,2.6
97000079,0,1,2,2008-04-18,0.7,1.2,2.6
97000080,0,1,3,2008-04-21,0.7,1.1,2.6
97000081,1,0,3,2008-04-22,0.7,0.9,2.7
97000082,0,2,4,2008-04-23,0.6,1.0,2.9
97000083,0,1,2,2008-04-24,0.5,1.0,2.8
97000084,0,2,3,2008-04-25,0.4,1.1,2.8
97000085,1,0,4,2008-04-28,0.5,1.0,2.9
97000086,0,0,4,2008-04-29,0.4,0.9,3.0
97000087,0,2,3,2008-04-30,0.3,1.0,3.0
97000088,1,0,3,2008-05-01,0.3,0.9,3.1
97000089,0,1,2,2008-05-02,0.3,0.9,3.1
97000090,1,2,3,2008-05-05,0.4,1.0,3.1
97000091,2,1,2,2008-05-06,0.5,1.1,3.0
97000092,0,1,2,2008-05-07,0.5,1.0,2.8
97000093,2,0,4,2008-05-08,0.7,0.9,3.0
97000094,0,4,2,2008-05-09,0.7,1.1,2.9
97000095,1,2,2,2008-05-12,0.7,1.3,2.7
97000096,1,2,3,2008-05-13,0.8,1.5,2.6
97000097,2,2,4,2008-05-14,1.0,1.5,2.7
97000098,0,2,2,2008-05-15,0.9,1.7,2.6
97000099,2,1,4,2008-05-16,1.1,1.7,2.8
97000100,0,0,3,2008-05-19,1.0,1.5,2.8
97000101,1,0,2,2008-05-20,0.9,1.4,2.8
97000102,0,0,2,2008-05-21,0.9,1.3,2.8
97000103,0,2,2,2008-05-22,0.7,1.5,2.6
97000104,1,0,3,2008-05-23,0.8,1.1,2.7
97000105,0,0,2,2008-05-26,0.7,0.9,2.7
97000106,1,1,5,2008-05-27,0.7,0.8,2.9
97000107,2,3,3,2008-05-28,0.7,0.9,2.8
97000108,0,0,3,2008-05-29,0.7,0.7,2.9
97000109,1,1,3,2008-05-30,0.6,0.7,2.8
97000110,0,2,3,2008-06-02,0.6,0.9,2.8
97000111,1,2,2,2008-06-03,0.6,1.1,2.8
97000112,2,1,3,2008-06-04,0.8,1.2,2.9
97000113,2,0,2,2008-06-05,1.0,1.0,2.9
97000114,0,1,2,2008-06-06,0.9,1.1,2.8
97000115,2,1,2,2008-06-09,1.1,1.2,2.8
97000116,1,1,2,2008-06-10,1.1,1.2,2.5
97000117,0,0,3,2008-06-11,0.9,0.9,2.5
97000118,0,1,3,2008-06-12,0.9,1.0,2.5
97000119,0,1,3,2008-06-13,0.8,1.0,2.5
97000120,1,0,3,2008-06-16,0.9,0.8,2.5
97000121,0,0,3,2008-06-17,0.8,0.6,2.6
97000122,1,1,3,2008-06-18,0.7,0.6,2.6
97000123,1,4,3,2008-06-19,0.6,1.0,2.7
97000124,1,3,3,2008-06-20,0.7,1.2,2.8
97000125,1,2,4,2008-06-23,0.6,1.3,3.0
97000126,0,1,3,2008-06-24,0.5,1.3,3.1
97000127,1,3,2,2008-06-25,0.6,1.6,3.0
97000128,0,1,3,2008-06-26,0.6,1.6,3.0
97000129,1,0,2,2008-06-27,0.7,1.5,2.9
97000130,0,2,3,2008-06-30,0.6,1.7,2.9
97000131,1,3,3,2008-07-01,0.7,2.0,2.9
97000132,1,1,3,2008-07-02,0.7,2.0,2.9
97000133,0,0,2,2008-07-03,0.6,1.6,2.8
97000134,0,0,3,2008-07-04,0.5,1.3,2.8
97000135,1,1,2,2008-07-07,0.5,1.2,2.6
97000136,1,1,3,2008-07-08,0.6,1.2,2.6
97000137,0,1,2,2008-07-09,0.5,1.0,2.6
97000138,1,2,3,2008-07-10,0.6,1.1,2.6
97000139,1,1,3,2008-07-11,0.6,1.2,2.7
97000140,0,2,3,2008-07-14,0.6,1.2,2.7
97000141,1,0,2,2008-07-15,0.6,0.9,2.6
97000142,0,1,2,2008-07-16,0.5,0.9,2.5
97000143,1,1,2,2008-07-17,0.6,1.0,2.5
97000144,0,2,2,2008-07-18,0.6,1.2,2.4
97000145,2,1,3,2008-07-21,0.7,1.2,2.5
97000146,2,1,2,2008-07-22,0.8,1.2,2.4
97000147,0,3,3,2008-07-23,0.8,1.4,2.5
97000148,0,0,4,2008-07-24,0.7,1.2,2.6
97000149,1,0,2,2008-07-25,0.7,1.1,2.5
97000150,1,0,4,2008-07-28,0.8,0.9,2.6
97000151,0,0,3,2008-07-29,0.7,0.9,2.7
97000152,1,0,2,2008-07-30,0.8,0.8,2.7
97000153,0,0,2,2008-07-31,0.7,0.7,2.7
97000154,0,1,2,2008-08-01,0.7,0.6,2.7
97000155,0,2,3,2008-08-04,0.5,0.7,2.7
97000156,0,2,3,2008-08-05,0.3,0.8,2.8
97000157,1,0,4,2008-08-06,0.4,0.5,2.9
97000158,0,1,3,2008-08-07,0.4,0.6,2.8
97000159,0,1,2,2008-08-08,0.3,0.7,2.8
97000160,2,0,3,2008-08-11,0.4,0.7,2.7
97000161,0,3,3,2008-08-12,0.4,1.0,2.7
97000162,1,4,3,2008-08-13,0.4,1.4,2.8
97000163,0,1,3,2008-08-14,0.4,1.5,2.9
97000164,0,2,2,2008-08-15,0.4,1.6,2.9
97000165,2,0,2,2008-08-18,0.6,1.4,2.8
97000166,0,1,2,2008-08-19,0.6,1.3,2.7
97000167,2,1,4,2008-08-20,0.7,1.4,2.7
97000168,1,0,2,2008-08-21,0.8,1.3,2.6
97000169,0,0,4,2008-08-22,0.8,1.2,2.8
97000170,1,2,3,2008-08-25,0.7,1.4,2.8
97000171,1,0,3,2008-08-26,0.8,1.1,2.8
97000172,0,0,3,2008-08-27,0.7,0.7,2.8
97000173,1,2,3,2008-08-28,0.8,0.8,2.8
97000174,0,1,2,2008-08-29,0.8,0.7,2.8
97000175,1,3,3,2008-09-01,0.7,1.0,2.9
97000176,0,0,2,2008-09-02,0.7,0.9,2.9
97000177,0,1,3,2008-09-03,0.5,0.9,2.8
97000178,0,0,3,2008-09-04,0.4,0.9,2.9
97000179,0,2,2,2008-09-05,0.4,1.1,2.7
97000180,1,0,2,2008-09-08,0.4,0.9,2.6
97000181,0,1,3,2008-09-09,0.3,1.0,2.6
97000182,1,0,3,2008-09-10,0.4,1.0,2.6
97000183,0,2,3,2008-09-11,0.3,1.0,2.6
97000184,2,0,4,2008-09-12,0.5,0.9,2.8
97000185,1,2,2,2008-09-15,0.5,0.8,2.7
97000186,0,3,3,2008-09-16,0.5,1.1,2.8
97000187,0,1,3,2008-09-17,0.5,1.1,2.8
97000188,0,3,3,2008-09-18,0.5,1.4,2.8
97000189,1,0,2,2008-09-19,0.6,1.2,2.8
97000190,0,1,3,2008-09-22,0.5,1.3,2.9
97000191,1,3,2,2008-09-23,0.6,1.5,2.8
97000192,1,0,2,2008-09-24,0.6,1.5,2.7
97000193,0,0,2,2008-09-25,0.6,1.3,2.6
97000194,0,1,3,2008-09-26,0.4,1.4,2.5
97000195,0,2,2,2008-09-29,0.3,1.4,2.5
97000196,1,1,2,2008-09-30,0.4,1.2,2.4
97000197,1,0,3,2008-10-01,0.5,1.1,2.4
97000198,0,2,3,2008-10-02,0.5,1.0,2.4
97000199,0,1,2,2008-10-03,0.4,1.1,2.4
97000200,0,1,2,2008-10-06,0.4,1.1,2.3
97000201,0,1,3,2008-10-07,0.3,0.9,2.4
97000202,0,0,3,2008-10-08,0.2,0.9,2.5
97000203,1,1,2,2008-10-09,0.3,1.0,2.5
97000204,1,1,3,2008-10-10,0.4,1.0,2.5
97000205,1,0,4,2008-10-13,0.5,0.8,2.7
97000206,1,2,2,2008-10-14,0.5,0.9,2.7
97000207,0,1,3,2008-10-15,0.4,1.0,2.7
97000208,1,0,2,2008-10-16,0.5,0.8,2.6
97000209,1,0,3,2008-10-17,0.6,0.7,2.7
97000210,2,4,3,2008-10-20,0.8,1.0,2.8
97000211,0,1,3,2008-10-21,0.8,1.0,2.8
97000212,1,1,2,2008-10-22,0.9,1.1,2.7
97000213,0,2,4,2008-10-23,0.8,1.2,2.9
97000214,0,1,2,2008-10-24,0.7,1.2,2.8
97000215,1,2,3,2008-10-27,0.7,1.4,2.7
97000216,1,1,2,2008-10-28,0.7,1.3,2.7
97000217,0,0,4,2008-10-29,0.7,1.2,2.8
97000218,2,1,2,2008-10-30,0.8,1.3,2.8
97000219,1,1,4,2008-10-31,0.8,1.4,2.9
97000220,0,1,3,2008-11-03,0.6,1.1,2.9
97000221,0,1,3,2008-11-04,0.6,1.1,2.9
97000222,0,1,3,2008-11-05,0.5,1.1,3.0
