strategy_id,lineage_id,game,bet_count,current_status,executable_status,implementation_kind,source_paths,git_first_seen_commit,git_last_seen_commit,current_exists,callable_entrypoint,parameter_source,implementation_signature_hash,notes,skip_reason,db_sources,evidence_level
biglotto_5bet_orthogonal,biglotto_5bet_orthogonal__current,BIG_LOTTO,5,UNKNOWN,UNKNOWN,python,tools/quick_predict.py,UNKNOWN,UNKNOWN,True,,,f88bbc2a1977e9142def0a2b9327031f3d65c6f6fa6125b0daad3c1f6f065ab2,,UNKNOWN: source mention found but callable entrypoint not established.,[],[Inferred]
biglotto_5bet_ts3_markov_freq,biglotto_5bet_ts3_markov_freq__current,BIG_LOTTO,5,UNKNOWN,DOC_ONLY,doc_only,outputs/replay/p91_all_strategy_replay_expansion_inventory_20260526.json,UNKNOWN,UNKNOWN,False,,,b4a310b527e623afab1b0b71c1be91caa41bb05e1202e1653346988219640d08,,DOC_ONLY: mentioned only in docs/evidence/report artifacts.,[],[Inferred]
biglotto_deviation_2bet,biglotto_deviation_2bet__current,BIG_LOTTO,2,ONLINE,EXECUTABLE,python,analysis/p273a_prize_aware_inferential_validation.py;analysis/p280d_big649_future_only_protocol.py;analysis/p333_strategy_pick_combination_scoreboard.py;docs/replay/p0_registry_reconciliation_20260519.md;docs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.md;docs/replay/p113_p112_action_decision_matrix_20260527.md;docs/replay/p114_temporal_stability_audit_20260527.md;docs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.md;docs/replay/p12_1500_draw_product_realignment_20260520.md;docs/replay/p12_backfill_phase_plan_20260520.md;docs/replay/p14b_biglotto_single_strategy_replay_dry_run_20260520.md;docs/replay/p14d_biglotto_production_apply_result_20260520.md;docs/replay/p15_biglotto_replay_api_integration_20260520.md;docs/replay/p16_biglotto_remaining_strategies_backfill_20260520.md;docs/replay/p17_biglotto_replay_timestamp_api_20260520.md;docs/replay/p18_replay_ui_timestamp_display_20260520.md;docs/replay/p1_catalog_visibility_plan_20260519.md;docs/replay/p1b_registry_reconciliation_20260520.md;docs/replay/p24_full_strategy_universe_inventory_20260521.md;docs/replay/p25a_full_replay_page_browser_verification_20260521.md;docs/replay/p2_full_catalog_visibility_plan_20260520.md;docs/replay/p2_prediction_helpfulness_audit_20260526.md;docs/replay/p38_post_p37_verification_registry_audit_20260523.md;docs/replay/p3_per_draw_all_strategy_coverage_matrix_20260520.md;docs/replay/p41_wave3_biglotto_adapter_bootstrap_planning_20260524.md;docs/replay/p68_all_strategy_executability_inventory_scan_20260526.md;docs/replay/p69_all_strategy_dry_run_batch_plan_20260526.md;docs/replay/p6_catalog_apply_plan_v1_20260520.md;docs/replay/p91_all_strategy_replay_expansion_inventory_20260526.md;docs/replay/p92_tier_b_adapter_audit_dry_run_plan_20260526.md;docs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.md;lottery_api/models/replay_strategy_registry.py;outputs/replay/p0_governance_baseline_report_20260511.md;outputs/replay/p0_replay_data_health_20260510.md;outputs/replay/p0_replay_lifecycle_catalog_truth_inventory_20260509.md;outputs/replay/p0_replay_lifecycle_coverage_20260509.md;outputs/replay/p0_replay_lifecycle_schema_diff_20260509.json;outputs/replay/p0_replay_product_golive_pr_readiness_20260510.md;outputs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.json;outputs/replay/p113_p112_action_decision_matrix_20260527.json;tools/big649_no_db_strategy_output_adapter.py;tools/predict_biglotto_deviation_2bet.py,58a147cdb2a0aead62603c6e16ea5f2c7c1ddd0c,58a147cdb2a0aead62603c6e16ea5f2c7c1ddd0c,True,tools.predict_biglotto_deviation_2bet.deviation_complement_2bet,tools/big649_no_db_strategy_output_adapter.py:_SPECS kwargs={'window': 50},27526d7161d235adf13107b494bb39fcee69cd7d2c354a0570e4da55b546b710,[Confirmed] current registry entry: 大樂透 Deviation 2注 | [Confirmed] frozen BIG 6/49 no-DB adapter spec | [Confirmed] DB strategy evidence from immutable read-only introspection,NOT_RUN: P356A primary deliverable is inventory; replay not run in this task.,"[{""column"": ""strategy_id"", ""count"": 1570, ""earliest_available_timestamp_or_period"": ""2010/07/13"", ""game"": [""BIG_LOTTO""], ""latest_available_timestamp_or_period"": ""2026/05/15"", ""status"": [""PREDICTED""], ""table"": ""strategy_prediction_replays""}]",[Confirmed]
biglotto_echo_aware_3bet,biglotto_echo_aware_3bet__current,BIG_LOTTO,3,RETIRED,EXECUTABLE,python,00-Plan/roadmap/agent_bootstrap/CURRENT_STATE.md;analysis/p273a_prize_aware_inferential_validation.py;analysis/p276b_fixed_n_coverage_complementarity.py;analysis/p280d_big649_future_only_protocol.py;docs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.md;docs/replay/p113_p112_action_decision_matrix_20260527.md;docs/replay/p114_temporal_stability_audit_20260527.md;docs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.md;docs/replay/p125_adapter_gap_plan_from_p124_20260528.md;docs/replay/p126_controlled_apply_plan_tier_b_multi_bet_20260528.md;docs/replay/p128_native_multi_bet_storage_design_20260528.md;docs/replay/p92_tier_b_adapter_audit_dry_run_plan_20260526.md;docs/replay/p93_tier_b_replay_adapter_bootstrap_dryrun_20260526.md;docs/replay/p94_tier_b_controlled_apply_20260526.md;docs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.md;lottery_api/models/p93_tierb_replay_adapters.py;lottery_api/models/replay_strategy_registry.py;outputs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.json;outputs/replay/p113_p112_action_decision_matrix_20260527.json;outputs/replay/p114_temporal_stability_audit_20260527.json;outputs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.json;outputs/replay/p125_adapter_gap_plan_from_p124_20260528.json;outputs/replay/p126_controlled_apply_plan_tier_b_multi_bet_20260528.json;outputs/replay/p128_native_multi_bet_storage_design_20260528.json;outputs/replay/p92_tier_b_adapter_audit_dry_run_plan_20260526.json;outputs/replay/p93_tier_b_replay_adapter_bootstrap_dryrun_20260526.json;outputs/replay/p94_tier_b_controlled_apply_20260526.json;outputs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.json;tools/big649_no_db_strategy_output_adapter.py;tools/predict_biglotto_echo_3bet.py,1548934cacb399f568b299fa72dbf8b6c20105db,1548934cacb399f568b299fa72dbf8b6c20105db,True,tools.predict_biglotto_echo_3bet.echo_aware_mixed_3bet,"tools/big649_no_db_strategy_output_adapter.py:_SPECS kwargs={'window': 50, 'echo_weight': 0.25}",2de4fa1e51f0b9ebcaa75726f67ade585c4d306fc260c7713b21f2b9a93021c2,[Confirmed] current registry entry: 大樂透 Echo Aware 3注 | [Confirmed] frozen BIG 6/49 no-DB adapter spec | [Confirmed] DB strategy evidence from immutable read-only introspection,"NOT_RUN: executable frozen BIG 6/49 callable found, but replay readiness blocked by lineage/readiness scope.","[{""column"": ""strategy_id"", ""count"": 4500, ""earliest_available_timestamp_or_period"": ""2013/02/08"", ""game"": [""BIG_LOTTO""], ""latest_available_timestamp_or_period"": ""2026/05/22"", ""status"": [""PREDICTED""], ""table"": ""strategy_prediction_replays""}]",[Confirmed]
biglotto_fourier_rhythm_2bet,biglotto_fourier_rhythm_2bet__current,BIG_LOTTO,2,UNKNOWN,UNKNOWN,mixed,docs/replay/p93_tier_b_replay_adapter_bootstrap_dryrun_20260526.md;docs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.md;outputs/replay/p92_tier_b_adapter_audit_dry_run_plan_20260526.json;outputs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.json;scripts/p94a_biglotto_all_strategy_betcount_benchmark.py,UNKNOWN,UNKNOWN,True,,,84d0cb69c9b12dca878f75ee68f0a614b5956a0d48a9082d8d6c7bc644eb804f,,UNKNOWN: source mention found but callable entrypoint not established.,[],[Inferred]
biglotto_p0_2bet,biglotto_p0_2bet__current,BIG_LOTTO,2,UNKNOWN,UNKNOWN,python,tools/analyze_prediction_115000019.py;tools/backtest_biglotto_p0_2bet.py;tools/quick_predict.py,UNKNOWN,UNKNOWN,True,,,9c5ea52478ca3e0600004ef830a0d84c0a57f15a3dd245ccb41610616ed26657,,UNKNOWN: source mention found but callable entrypoint not established.,[],[Inferred]
biglotto_triple_strike,biglotto_triple_strike__current,BIG_LOTTO,UNKNOWN,ONLINE,EXECUTABLE,python,analysis/p273a_prize_aware_inferential_validation.py;analysis/p280d_big649_future_only_protocol.py;docs/replay/p0_registry_reconciliation_20260519.md;docs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.md;docs/replay/p113_p112_action_decision_matrix_20260527.md;docs/replay/p114_temporal_stability_audit_20260527.md;docs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.md;docs/replay/p12_1500_draw_product_realignment_20260520.md;docs/replay/p12_backfill_phase_plan_20260520.md;docs/replay/p14b_biglotto_single_strategy_replay_dry_run_20260520.md;docs/replay/p14d_biglotto_production_apply_result_20260520.md;docs/replay/p15_biglotto_replay_api_integration_20260520.md;docs/replay/p16_biglotto_remaining_strategies_backfill_20260520.md;docs/replay/p17_biglotto_replay_timestamp_api_20260520.md;docs/replay/p18_replay_ui_timestamp_display_20260520.md;docs/replay/p1_catalog_visibility_plan_20260519.md;docs/replay/p1b_registry_reconciliation_20260520.md;docs/replay/p24_full_strategy_universe_inventory_20260521.md;docs/replay/p25a_full_replay_page_browser_verification_20260521.md;docs/replay/p2_full_catalog_visibility_plan_20260520.md;docs/replay/p2_prediction_helpfulness_audit_20260526.md;docs/replay/p38_post_p37_verification_registry_audit_20260523.md;docs/replay/p3_per_draw_all_strategy_coverage_matrix_20260520.md;docs/replay/p41_wave3_biglotto_adapter_bootstrap_planning_20260524.md;docs/replay/p68_all_strategy_executability_inventory_scan_20260526.md;docs/replay/p69_all_strategy_dry_run_batch_plan_20260526.md;docs/replay/p6_catalog_apply_plan_v1_20260520.md;docs/replay/p91_all_strategy_replay_expansion_inventory_20260526.md;docs/replay/p92_tier_b_adapter_audit_dry_run_plan_20260526.md;lottery_api/models/replay_strategy_registry.py;outputs/replay/p0_governance_baseline_report_20260511.md;outputs/replay/p0_replay_lifecycle_catalog_truth_inventory_20260509.md;outputs/replay/p0_replay_lifecycle_coverage_20260509.md;outputs/replay/p0_replay_lifecycle_schema_diff_20260509.json;outputs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.json;outputs/replay/p113_p112_action_decision_matrix_20260527.json;outputs/replay/p114_temporal_stability_audit_20260527.json;outputs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.json;outputs/replay/p125_adapter_gap_plan_from_p124_20260528.json;outputs/replay/p12_1500_draw_gap_analysis_20260520.json;tools/big649_no_db_strategy_output_adapter.py;tools/predict_biglotto_triple_strike.py,58a147cdb2a0aead62603c6e16ea5f2c7c1ddd0c,58a147cdb2a0aead62603c6e16ea5f2c7c1ddd0c,True,tools.predict_biglotto_triple_strike.generate_triple_strike,tools/big649_no_db_strategy_output_adapter.py:_SPECS kwargs={},5439abf88b4f8ca5d80d7f040a583ca43af6797f5513026b5e74777c21de1cb9,[Confirmed] current registry entry: 大樂透 Triple Strike | [Confirmed] frozen BIG 6/49 no-DB adapter spec | [Confirmed] DB strategy evidence from immutable read-only introspection,NOT_RUN: P356A primary deliverable is inventory; replay not run in this task.,"[{""column"": ""strategy_id"", ""count"": 1570, ""earliest_available_timestamp_or_period"": ""2010/07/13"", ""game"": [""BIG_LOTTO""], ""latest_available_timestamp_or_period"": ""2026/05/15"", ""status"": [""PREDICTED""], ""table"": ""strategy_prediction_replays""}]",[Confirmed]
"biglotto_triple_strike,biglotto_deviation_2bet","biglotto_triple_strike,biglotto_deviation_2bet__current",BIG_LOTTO,2,UNKNOWN,DB_ONLY,db_only,,UNKNOWN,UNKNOWN,False,,,b8b89630accd60f83cdbfd7fd47be98a604ea077d212695b07c72dcbe1ab02d9,[Confirmed] DB strategy evidence from immutable read-only introspection,DB_ONLY: DB strategy evidence exists but no current implementation/config/doc source found.,"[{""column"": ""strategy_scope"", ""count"": 2, ""earliest_available_timestamp_or_period"": ""2026-05-07 06:26:22"", ""game"": [""BIG_LOTTO""], ""latest_available_timestamp_or_period"": ""2026-05-07 08:54:12"", ""status"": [""DONE""], ""table"": ""strategy_replay_runs""}]",[Confirmed]
biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet__current,BIG_LOTTO,4,REJECTED,MISSING_CODE,json,lottery_api/models/replay_strategy_registry.py;outputs/replay/non_online_replay_fixture_20260511.json;outputs/replay/p12_1500_draw_gap_analysis_20260520.json;outputs/replay/p18_replay_product_gap_inventory_20260511.md;outputs/replay/p19_replay_product_follow_up_20260511.md;outputs/replay/p1_catalog_visibility_plan_20260519.json;outputs/replay/p1_executable_inventory_20260513.json;outputs/replay/p1_executable_inventory_20260513.md;outputs/replay/p1_replay_truth_executable_evidence_report_20260513.md;outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p1_strategy_lifecycle_inventory_20260511.md;outputs/replay/p20_non_online_replay_fixture_spec_20260511.md;outputs/replay/p24_display_only_catalog_spec_20260512.md;outputs/replay/p24_full_strategy_universe_inventory_20260521.json;outputs/replay/p24_strategy_replay_coverage_report_20260512.md;outputs/replay/p26_non_online_strategy_state_labels_20260521.json;outputs/replay/p2_full_catalog_visibility_plan_20260520.json;outputs/replay/p2_non_online_lifecycle_classification_20260511.md;outputs/replay/p2_truth_level_taxonomy_v2_report_20260513.md;outputs/replay/p30_reconstructible_candidacy_evaluation_20260521.json;outputs/replay/p3_per_draw_all_strategy_coverage_matrix_20260520.json;outputs/replay/p3_retrospective_candidate_summary_20260513.json;outputs/replay/p3_retrospective_regeneration_dryrun_report_20260513.md;outputs/replay/p56_all_lifecycle_replay_coverage_manifest_20260512.json;outputs/replay/p56_all_lifecycle_replay_coverage_report_20260512.md;outputs/replay/p57_truth_taxonomy_decision_memo_draft_20260513.md;outputs/replay/p6_catalog_apply_plan_v1_20260520.json;outputs/replay/p78_configurable_api_base_report_20260513.md;outputs/replay/v2_artifact_only_candidate_summary_20260514.json;outputs/replay/v2_artifact_only_controlled_apply_report_20260514.md;outputs/replay/v2_artifact_only_dryrun_validation_report_20260514.md;outputs/replay/v2_artifact_only_parser_contract_20260514.md;outputs/replay/v2_artifact_only_parser_initialization_report_20260514.md;outputs/research/p262a_replay_strategy_coverage_audit_20260609.json;rejected/README.md;scripts/p1_replay_truth_executable_inventory.py;scripts/p356a_all_strategy_inventory.py;scripts/p3_retrospective_regeneration_dryrun.py;scripts/v2_artifact_only_parser_dryrun.py;tools/audit_p262a_replay_strategy_coverage.py,a57f4df2662ac8a838c1fd87673fdf5993d7423a,a57f4df2662ac8a838c1fd87673fdf5993d7423a,False,,registry:min_history=0;version=v0.0,6ca21ae9a9e19ab0b891923ef5d191cc9bfc39e10f167ce786c277dd88ee4b32,[Confirmed] current registry entry: 大樂透 TS3+ACB 4注 | [Confirmed] special handling: do not fake execution for biglotto_ts3_acb_4bet,MISSING_CODE: registry lifecycle stub/rejected artifact only; no predict tool found.,[],[Confirmed]
biglotto_ts3_markov_4bet_w30,biglotto_ts3_markov_4bet_w30__current,BIG_LOTTO,4,RETIRED,EXECUTABLE,python,analysis/p272b_prospective_oos_detectability_power.py;analysis/p273a_prize_aware_inferential_validation.py;analysis/p276b_fixed_n_coverage_complementarity.py;analysis/p280d_big649_future_only_protocol.py;docs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.md;docs/replay/p113_p112_action_decision_matrix_20260527.md;docs/replay/p114_temporal_stability_audit_20260527.md;docs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.md;docs/replay/p125_adapter_gap_plan_from_p124_20260528.md;docs/replay/p126_controlled_apply_plan_tier_b_multi_bet_20260528.md;docs/replay/p128_native_multi_bet_storage_design_20260528.md;docs/replay/p92_tier_b_adapter_audit_dry_run_plan_20260526.md;docs/replay/p93_tier_b_replay_adapter_bootstrap_dryrun_20260526.md;docs/replay/p94_tier_b_controlled_apply_20260526.md;docs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.md;lottery_api/models/p93_tierb_replay_adapters.py;lottery_api/models/replay_strategy_registry.py;outputs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.json;outputs/replay/p113_p112_action_decision_matrix_20260527.json;outputs/replay/p114_temporal_stability_audit_20260527.json;outputs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.json;outputs/replay/p125_adapter_gap_plan_from_p124_20260528.json;outputs/replay/p126_controlled_apply_plan_tier_b_multi_bet_20260528.json;outputs/replay/p128_native_multi_bet_storage_design_20260528.json;outputs/replay/p92_tier_b_adapter_audit_dry_run_plan_20260526.json;outputs/replay/p93_tier_b_replay_adapter_bootstrap_dryrun_20260526.json;outputs/replay/p94_tier_b_controlled_apply_20260526.json;outputs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.json;tools/backtest_biglotto_5bet_ts3markov.py;tools/big649_no_db_strategy_output_adapter.py,d2e7ecf352997950a82399051ae1f01dc37fbf5c,d2e7ecf352997950a82399051ae1f01dc37fbf5c,True,tools.backtest_biglotto_5bet_ts3markov.generate_ts3_markov_4bet,tools/big649_no_db_strategy_output_adapter.py:_SPECS kwargs={'markov_window': 30},fb0e6397fa264ac0874eb0f765430006974b26fcc7e07966af07e994a9469524,[Confirmed] current registry entry: 大樂透 TS3+Markov 4注 w30 | [Confirmed] frozen BIG 6/49 no-DB adapter spec | [Confirmed] DB strategy evidence from immutable read-only introspection,"NOT_RUN: executable frozen BIG 6/49 callable found, but replay readiness blocked by lineage/readiness scope.","[{""column"": ""strategy_id"", ""count"": 6000, ""earliest_available_timestamp_or_period"": ""2013/02/08"", ""game"": [""BIG_LOTTO""], ""latest_available_timestamp_or_period"": ""2026/05/22"", ""status"": [""PREDICTED""], ""table"": ""strategy_prediction_replays""}]",[Confirmed]
