query_id,artifact_path,source_stage,exists,sha256,row_or_object_count,freshness_status,related_delta,notes
all_artifacts,recovered_strategies/biglotto/no_db_command_center_regression_runner.py,P377,YES,244609d4779cc9b03c2d764df20504a8a7a2cf30f8f959ca251ffa9946b9ad84,text_lines=821,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P378_biglotto_regression_run_archive_command_delta.csv,P378,YES,2642a0bf3e967a998401ca18ae4b6da0cf576c1161d0b4d5f5c5e0fe0baeab44,csv_rows=6,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P378_biglotto_regression_run_archive_freshness_delta.csv,P378,YES,a4d5689dcffcb20556b5a1d1443457b742bff6389ea37a904619572f0f629b26,csv_rows=50,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P378_biglotto_regression_run_archive_report.html,P378,YES,ba52bbe17d7e51fc5ac313f32bce25154e7901f841eb92c53bc56b87a240e34b,text_lines=281,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P378_biglotto_regression_run_archive_manifest.csv,P378,YES,2631a28a87fe856bdf79f09c8ece6fd26f03034a162ff91f91149e8bc81ddb72,csv_rows=18,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,recovered_strategies/biglotto/no_db_regression_archive_explorer.py,P379,YES,c9cb0a532dd2c820f8c12813fda723380ee6447f3710d1a383c7aa7da240696d,text_lines=810,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P379_biglotto_regression_archive_explorer_index.json,P379,YES,e549f39076af8ae5dc10f602353177733017b460c44dabce652236311ebd2bf6,json_keys=10,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P379_biglotto_regression_archive_explorer_catalog.csv,P379,YES,2c95934c5f5e08d62edbe468f4c42dc8c9713c6f89b74a9591520840a16281c3,csv_rows=9,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P379_biglotto_regression_archive_explorer_snapshot_summary.json,P379,YES,cae4d8930d9a4f1668d5149f7c90b4c7714621e87903e902357d6d6e991b26d2,json_keys=18,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P379_biglotto_regression_archive_explorer_command_view.csv,P379,YES,8ec4cdd1c7325f68d5c91a7a724a9c1ea0fb85bb8e9d405ff7ebdf64119acbaa,csv_rows=6,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P379_biglotto_regression_archive_explorer_freshness_view.csv,P379,YES,f9413230f1c88cb07e88f5406b896782202f28af4e801492b8527ca24057769a,csv_rows=50,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P379_biglotto_regression_archive_explorer_query_snapshots.json,P379,YES,b07c1e73e6fa44193a21dbb8acdc6b26ae396f441097bb919ebfedd242faeb34,json_keys=8,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P379_biglotto_regression_archive_explorer_report.html,P379,YES,dfc3a63154c001c29bf4eac39a2b8bcf02be3dcb895c384fbc73622cc4f5cbee,text_lines=1328,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P379_biglotto_regression_archive_explorer_manifest.csv,P379,YES,a7847ec6456d27d34d245356c74099d8e5bacf7d5b2e92571e8ab9d56ab401b3,csv_rows=21,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
stale_or_missing_artifacts,none,none,YES,,0,NONE,none,Sentinel row; no stale or missing committed source artifacts were observed.
