strategy_id,game,fixture_size,replay_window,replay_period_index,total_periods,history_start_draw,history_end_draw,prediction_rows,predictions_json,output_valid,no_db_access_proof,notes
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,6,21,P357E-SYN539-0005,P357E-SYN539-0504,3,"[[13,22,26,32,39],[15,25,27,31,36],[3,18,24,34,38]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,6,21,P357E-SYN539-0005,P357E-SYN539-0504,3,"[[13,22,26,32,39],[15,25,27,31,36],[9,11,14,18,35]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,7,21,P357E-SYN539-0006,P357E-SYN539-0505,3,"[[4,13,16,26,39],[15,22,25,27,31],[1,3,24,34,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,7,21,P357E-SYN539-0006,P357E-SYN539-0505,3,"[[4,13,16,26,39],[15,22,25,27,31],[9,11,14,35,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,8,21,P357E-SYN539-0007,P357E-SYN539-0506,3,"[[2,4,16,32,39],[15,22,25,27,31],[1,24,34,36,37]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,8,21,P357E-SYN539-0007,P357E-SYN539-0506,3,"[[2,4,16,32,39],[15,22,25,27,31],[13,14,18,26,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,9,21,P357E-SYN539-0008,P357E-SYN539-0507,3,"[[2,4,10,17,21],[13,15,25,27,31],[1,24,34,36,37]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,9,21,P357E-SYN539-0008,P357E-SYN539-0507,3,"[[2,4,10,17,21],[13,15,25,27,31],[14,22,26,35,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,10,21,P357E-SYN539-0009,P357E-SYN539-0508,3,"[[2,10,17,21,26],[14,15,25,27,31],[1,11,24,36,37]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,10,21,P357E-SYN539-0009,P357E-SYN539-0508,3,"[[2,10,17,21,26],[14,15,25,27,31],[9,13,22,35,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,11,21,P357E-SYN539-0010,P357E-SYN539-0509,3,"[[3,8,10,12,26],[14,15,25,27,31],[1,11,29,36,37]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,11,21,P357E-SYN539-0010,P357E-SYN539-0509,3,"[[3,8,10,12,26],[14,15,25,27,31],[13,18,22,35,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,12,21,P357E-SYN539-0011,P357E-SYN539-0510,3,"[[4,8,12,22,26],[14,15,25,27,31],[1,29,30,35,37]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,12,21,P357E-SYN539-0011,P357E-SYN539-0510,3,"[[4,8,12,22,26],[14,15,25,27,31],[1,9,18,35,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,13,21,P357E-SYN539-0012,P357E-SYN539-0511,3,"[[4,8,13,22,27],[14,15,25,26,31],[1,29,30,35,37]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,13,21,P357E-SYN539-0012,P357E-SYN539-0511,3,"[[4,8,13,22,27],[14,15,25,26,31],[1,9,18,35,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,14,21,P357E-SYN539-0013,P357E-SYN539-0512,3,"[[13,16,27,32,38],[14,15,25,26,31],[3,22,30,35,37]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,14,21,P357E-SYN539-0013,P357E-SYN539-0512,3,"[[13,16,27,32,38],[14,15,25,26,31],[1,9,22,35,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,15,21,P357E-SYN539-0014,P357E-SYN539-0513,3,"[[15,16,23,27,38],[9,25,26,31,36],[2,3,21,22,32]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,15,21,P357E-SYN539-0014,P357E-SYN539-0513,3,"[[15,16,23,27,38],[9,25,26,31,36],[5,11,14,22,35]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,16,21,P357E-SYN539-0015,P357E-SYN539-0514,3,"[[7,15,16,23,29],[26,27,31,35,36],[3,10,21,22,34]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,16,21,P357E-SYN539-0015,P357E-SYN539-0514,3,"[[7,15,16,23,29],[26,27,31,35,36],[5,9,14,22,25]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,17,21,P357E-SYN539-0016,P357E-SYN539-0515,3,"[[7,14,17,24,29],[15,26,27,31,36],[2,3,10,21,34]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,17,21,P357E-SYN539-0016,P357E-SYN539-0515,3,"[[7,14,17,24,29],[15,26,27,31,36],[9,11,16,22,25]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,18,21,P357E-SYN539-0017,P357E-SYN539-0516,3,"[[7,14,17,24,30],[15,26,27,31,36],[2,3,8,10,21]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,18,21,P357E-SYN539-0017,P357E-SYN539-0516,3,"[[7,14,17,24,30],[15,26,27,31,36],[9,11,16,22,25]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,19,21,P357E-SYN539-0018,P357E-SYN539-0517,3,"[[16,24,26,30,38],[9,15,27,31,36],[2,3,8,13,34]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,19,21,P357E-SYN539-0018,P357E-SYN539-0517,3,"[[16,24,26,30,38],[9,15,27,31,36],[13,14,22,25,35]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,20,21,P357E-SYN539-0019,P357E-SYN539-0518,3,"[[1,4,26,35,38],[9,15,27,31,36],[2,13,22,23,25]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,20,21,P357E-SYN539-0019,P357E-SYN539-0518,3,"[[1,4,26,35,38],[9,15,27,31,36],[11,13,14,16,22]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,21,21,P357E-SYN539-0020,P357E-SYN539-0519,3,"[[1,11,27,32,35],[9,15,26,31,36],[12,13,16,22,28]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,21,21,P357E-SYN539-0020,P357E-SYN539-0519,3,"[[1,11,27,32,35],[9,15,26,31,36],[8,13,14,16,22]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
