artifact_group,artifact_role,path,source_sha256,output_row_count,output_object_count,no_db_open_write,no_adapter_calls,no_new_scoring,details
source,P368_biglotto_evidence_api_readme,artifacts/P368_biglotto_evidence_api_readme.md,d00fef22cd03d243f8562a907520c264e997c18891181c9c1b4175717edab263,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_contract,artifacts/P367_biglotto_evidence_api_contract.json,3a4c2b7c50029b8085f33c9edc0dd80b56ef41e2f13111401ddd4476395ff509,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_examples,artifacts/P367_biglotto_evidence_api_examples.json,34b22c276e050fa9f11ae930f37e228ee8de10cd72aeb9ce454811f3adbe7915,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_validation,artifacts/P367_biglotto_evidence_api_validation.csv,f362dfe281c931ebed204b22edb719dfb8ad591c0b95378ca6837c3beaea80a5,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_manifest,artifacts/P367_biglotto_evidence_api_manifest.csv,b950756440d42017aa474c61b567dbd565e390e688d031860d04b62377283de2,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_readme,artifacts/P367_biglotto_evidence_api_readme.md,63de70e989097b9a371048bd7f2c0bc2262581a3cdd1f1ec15251f0a0c70c39c,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,test_p369_biglotto_evidence_agent_pack,tests/test_p369_biglotto_evidence_agent_pack.py,2f0898eb80f568512d5f781e4c2377a528620716b436b9da9a18d969aa485bc1,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,test_p368_biglotto_evidence_api_snapshots,tests/test_p368_biglotto_evidence_api_snapshots.py,8017ad0ad80ea95a376ac5d250a4612b38cba21cd84cbe4d14222f52801dcdfb,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,test_p367_biglotto_evidence_api,tests/test_p367_biglotto_evidence_api.py,218d4c3482b573e241aebf679cef7000947da0ae4c7afd84c4e1a93047e777cc,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
output,transcripts,artifacts/P370_biglotto_agent_pack_consumer_transcripts.json,570fa181df96077b14a6981def5f0b7c0adaae0c8d690867fd9d9a4ba1edfc0d,,1,YES,YES,YES,P370 generated no-DB agent pack consumer artifact.
output,recipe_results,artifacts/P370_biglotto_agent_pack_consumer_recipe_results.csv,4a891c556d11cfb4e294063ec24ca33bb863e647953c89042dcfc9abda3c5ea6,6,,YES,YES,YES,P370 generated no-DB agent pack consumer artifact.
output,prompt_safety_audit,artifacts/P370_biglotto_agent_pack_consumer_prompt_safety_audit.csv,dfa7add522296a869441ecb3584475d3c57d58152f9d5698a4f48ef0f5527970,10,,YES,YES,YES,P370 generated no-DB agent pack consumer artifact.
output,task_cards,artifacts/P370_biglotto_agent_pack_consumer_task_cards.json,3bc0179c3b1715c9add5bbc40c8a22b1b94ddf5a04dab1c9685d15b1854b57b1,,1,YES,YES,YES,P370 generated no-DB agent pack consumer artifact.
output,examples,artifacts/P370_biglotto_agent_pack_consumer_examples.md,7c2b5ecf4e1b4ff6dbd6f43315f61a8a568910b7194b7c552eb7d199398e7cff,54,,YES,YES,YES,P370 generated no-DB agent pack consumer artifact.
output,manifest,artifacts/P370_biglotto_agent_pack_consumer_manifest.csv,SELF_SHA256_OMITTED_RECURSIVE_ARTIFACT,31,,YES,YES,YES,P370 generated no-DB agent pack consumer artifact.
statement,scope,,,,,YES,YES,YES,"Historical descriptive evidence only; no future prediction guarantee; no betting advice; no DB open/write; no production registry import; no deploy; no adapter calls; no new scoring cohort; no blended leaderboard; generated prompts are templates, not standing authorization; shape-only and blocked targets remain excluded."
statement,determinism,,,,,YES,YES,YES,P370 artifact generation performs deterministic double-run equality before write.
