artifact_group,artifact_role,path,source_sha256,output_row_count,output_object_count,no_db_open_write,no_adapter_calls,no_new_scoring,no_deploy,details,scope_statement
source,p381_answer_cards,artifacts/P381_biglotto_regression_archive_answer_kit_answer_cards.json,b8f2b0357b2d4413a446941a504cd8e948c5e80ae1b59555c767487f3dbe7bd6,,json_keys=6,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p381_status_block,artifacts/P381_biglotto_regression_archive_answer_kit_status_block.md,442192095e12f64a24dc6d70673ad299b6fedbf8b2e938d9539cfc1d26d456b3,,text_lines=34,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p381_briefings,artifacts/P381_biglotto_regression_archive_answer_kit_briefings.json,bae88565752c63cff86b21718432fd2dfec38884f2003f865aa00dd73c9bdd61,,json_keys=5,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p381_lookup_transcripts,artifacts/P381_biglotto_regression_archive_answer_kit_lookup_transcripts.json,7040cfd34c6c2afa64d5a12d08d9459db103004d3d977abd578e23fb151b48c9,,json_keys=5,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p381_portal,artifacts/P381_biglotto_regression_archive_answer_kit_portal.html,c519b8571c5d5ad181c2dcf360c32b8655efe61606985cd4de3669eb55953c5f,,text_lines=132,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p381_manifest,artifacts/P381_biglotto_regression_archive_answer_kit_manifest.csv,5ae475f916d50f27d392490892c8ba46dc09383f9a002d73919380e047416efa,,csv_rows=44,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
output,index,artifacts/P382_biglotto_answer_kit_scenario_runner_index.json,2949706db89ddf7cee771a3c7a71492a1e8db41a370ac4a5c37211df590999b0,,json_keys=13,YES,YES,YES,YES,P382 generated no-DB answer kit scenario runner artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
output,scenarios,artifacts/P382_biglotto_answer_kit_scenario_runner_scenarios.json,6adea2ff194438c2a8e4fe72f2733dbe66c1dba4796caf3f4217b88f931f3c95,,json_keys=6,YES,YES,YES,YES,P382 generated no-DB answer kit scenario runner artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
output,transcripts,artifacts/P382_biglotto_answer_kit_scenario_runner_transcripts.json,c2795f28c55a8b524bb149ce7f7967361b339a1b108e4d0e13b4ed62438a6e45,,json_keys=5,YES,YES,YES,YES,P382 generated no-DB answer kit scenario runner artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
output,coverage,artifacts/P382_biglotto_answer_kit_scenario_runner_coverage.csv,1353dae0ab5ff07cb80c96a64118b54fc1f8e2b742a47c02f913477b34068db1,7,,YES,YES,YES,YES,P382 generated no-DB answer kit scenario runner artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
output,missing_answers,artifacts/P382_biglotto_answer_kit_scenario_runner_missing_answers.csv,7ee912ca44bb0a8d9bff600668ee9e8f218e453098920d9d9047bba6af104b15,1,,YES,YES,YES,YES,P382 generated no-DB answer kit scenario runner artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
output,qa_report,artifacts/P382_biglotto_answer_kit_scenario_runner_qa_report.md,c71a3f91dac7c292bd90cb8e443165739bb1e29da90ac5296cc7a2bc6f3f44a6,,text_lines=47,YES,YES,YES,YES,P382 generated no-DB answer kit scenario runner artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
output,manifest,artifacts/P382_biglotto_answer_kit_scenario_runner_manifest.csv,SELF_SHA256_OMITTED_RECURSIVE_ARTIFACT,28,,YES,YES,YES,YES,P382 generated no-DB answer kit scenario runner artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
statement,no_db_open_write,,,,,YES,YES,YES,YES,No DB open/write was performed by P382.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
statement,no_adapter_calls,,,,,YES,YES,YES,YES,No adapter calls were performed by P382.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
statement,no_new_scoring,,,,,YES,YES,YES,YES,"No new scoring, scoring cohort, shape-only scoring, blocked-target scoring, or blended leaderboard was created by P382.",Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
statement,no_deploy,,,,,YES,YES,YES,YES,"No production registry import, deploy, or external publication was performed by P382.",Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
