lottery,strategy_id,strategy_name,input_source,available_windows,replay_rows,distinct_target_draws,draw_range,max_bet_index,current_lifecycle_status,historical_snapshot_lifecycle_status,prize_aware,cross_lottery,m3_inferential_status,blocked_reason
DAILY_539,p0b_539_3bet_f_cold_fmid,p0b_539_3bet_f_cold_fmid,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,110000190..115000121,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,p0c_539_3bet_f_cold_x2,p0c_539_3bet_f_cold_x2,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,110000190..115000121,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,p1_deviation_2bet_539,今彩539 P1鄰號+偏差互補 2注,P250A inventory,,0,0,,,REJECTED,REJECTED,FULL,NO,NOT_READY,NO_REPLAY_ROWS
DAILY_539,zone_gap_3bet_539,zone_gap_3bet_539,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,110000190..115000121,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
POWER_LOTTO,cold_complement_2bet,cold_complement_2bet,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,101000002..115000040,1,RETIRED,LIFECYCLE_UNRESOLVED,PARTIAL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
POWER_LOTTO,fourier30_markov30_2bet,fourier30_markov30_2bet,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1501,1501,101000002..115000041,1,RETIRED,LIFECYCLE_UNRESOLVED,PARTIAL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
POWER_LOTTO,fourier_rhythm_3bet,威力彩 Fourier Rhythm 3注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,4503,1501,101000002..115000041,3,ONLINE,ONLINE,BLOCKED,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
POWER_LOTTO,h6_gate_mk20_ew85,威力彩 H6 Gate mk20 ew85,P250A inventory,,0,0,,,OBSERVATION,OBSERVATION,BLOCKED,NO,NOT_READY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
POWER_LOTTO,midfreq_fourier_2bet,威力彩 MidFreq+Fourier 2注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,101000002..115000040,1,ARTIFACT_ONLY,DRY_RUN,PARTIAL,YES,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
POWER_LOTTO,midfreq_fourier_mk_3bet,威力彩 MidFreq+Fourier+Markov 3注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,4500,1500,101000002..115000040,3,ARTIFACT_ONLY,DRY_RUN,PARTIAL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
POWER_LOTTO,power_fourier_rhythm_2bet,power_fourier_rhythm_2bet,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,3000,1500,101000003..115000041,2,RETIRED,LIFECYCLE_UNRESOLVED,BLOCKED,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
POWER_LOTTO,power_orthogonal_5bet,威力彩 Orthogonal 5注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,7550,1550,99000055..115000040,5,ONLINE,ONLINE,BLOCKED,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
POWER_LOTTO,power_precision_3bet,威力彩 Precision 3注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,4550,1550,99000055..115000040,3,ONLINE,ONLINE,BLOCKED,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
POWER_LOTTO,power_shlc_midfreq,威力彩 SHLC 中頻指標,P250A inventory,,0,0,,,REJECTED,REJECTED,BLOCKED,NO,NOT_READY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
POWER_LOTTO,pp3_freqort_4bet,威力彩 PP3+FreqOrt 4注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,6000,1500,101000002..115000040,4,ARTIFACT_ONLY,DRY_RUN,PARTIAL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
POWER_LOTTO,zonal_entropy_2bet,zonal_entropy_2bet,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,101000002..115000040,1,RETIRED,LIFECYCLE_UNRESOLVED,PARTIAL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,"Missing predicted second-zone value (predicted_special IS NULL) for 27104/36104 rows (75.07%). This is a BLOCKING condition for FULL prize-aware replay evaluation of POWER_LOTTO, per explicit task instruction (a missing predicted second-zone must not be downgraded to a warning, must not be filled with a manufactured/random/default/most-frequent value, and must not be substituted from the actual second-zone). A future adapter MAY proceed on the 9000-row subset where predicted_special is present, excluding the other 27104 rows with an explicit exclusion reason (e.g. 'predicted_second_zone_missing')."
