rank,strategy_id,effective_strategy_id,governance_status,independent_algorithm_id,equivalence_group,ticket_count,evaluated_draws,common_window_draws,strategy_replicates,complete_portfolios,completion_rate,m4plus_hits,m4plus_rate,m4plus_confidence_interval_95,confidence_method,random_m4plus_hits,random_m4plus_rate,random_confidence_interval_95,paired_difference_vs_random,paired_difference_interval_95,paired_p_value,multiplicity_adjusted_p_value,bh_fdr_adjusted_p_value,credible_advantage_unadjusted,credible_advantage_adjusted,runtime_seconds
11,history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,CANDIDATE,history::lottery_api/models/core_satellite.py,core_satellite_family,15,2025,2025,10,20235,0.9992592592592593,291,0.014381022979985175,"[0.012702331962,0.016054869684]",draw-cluster bootstrap percentile,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0009272976680384089,"[-0.003204389575,0.001388203018]",0.7775989851743675,1.0,0.998102049628845,False,False,8.405288
12,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,registry::bet2_fourier_expansion_biglotto@sp20_v1,REJECTED,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,15,2025,2025,1,2025,1.0,29,0.014320987654320988,"[0.009989579877,0.020491588847]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0009876543209876552,"[-0.006123456790,0.004691358025]",0.6442478989660684,1.0,0.998102049628845,False,False,22.501476
13,cluster_pivot_biglotto,cluster_pivot_biglotto@sp20_v1,REJECTED,cluster_pivot_biglotto,,15,2025,2025,1,2025,1.0,29,0.014320987654320988,"[0.009989579877,0.020491588847]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0009876543209876552,"[-0.006370370370,0.004641975309]",0.6455618023217053,1.0,0.998102049628845,False,False,32.02054
14,predict_biglotto_echo_2bet,predict_biglotto_echo_2bet@sp20_v1,UNKNOWN,predict_biglotto_echo_2bet,,15,2025,2025,1,2025,1.0,29,0.014320987654320988,"[0.009989579877,0.020491588847]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0009876543209876552,"[-0.006518518519,0.004592592593]",0.64511870929888,1.0,0.998102049628845,False,False,19.295731
15,biglotto_10bet_combined,biglotto_10bet_combined@sp20_v1,DELETED,biglotto_10bet_combined,,15,2025,2025,1,2025,1.0,28,0.013827160493827161,"[0.009583772856,0.019911611597]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0014814814814814823,"[-0.006962962963,0.003950617284]",0.7105035592859645,1.0,0.998102049628845,False,False,33.78829
16,biglotto_triple_strike,registry::biglotto_triple_strike@sp20_v1,ONLINE,biglotto_triple_strike,,15,2025,2025,1,2025,1.0,28,0.013827160493827161,"[0.009583772856,0.019911611597]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0014814814814814823,"[-0.006913580247,0.003753086420]",0.7123730923499312,1.0,0.998102049628845,False,False,22.027415
17,markov_2bet_biglotto,registry::markov_2bet_biglotto@sp20_v1,REJECTED,markov_2bet_biglotto,,15,2025,2025,1,2025,1.0,26,0.012839506172839505,"[0.008776997886,0.018746818023]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0024691358024691366,"[-0.007604938272,0.003061728395]",0.8268317265206676,1.0,0.998102049628845,False,False,18.77535
18,biglotto_5bet_orthogonal,biglotto_5bet_orthogonal@sp20_v1,UNKNOWN,biglotto_5bet_orthogonal,,15,2025,2025,1,2025,1.0,25,0.012345679012345678,"[0.008376206977,0.018161824660]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0029629629629629637,"[-0.007802469136,0.002469135802]",0.8769663339682121,1.0,0.998102049628845,False,False,25.641561
19,biglotto_deviation_2bet,registry::biglotto_deviation_2bet@sp20_v1,ONLINE,biglotto_deviation_2bet,,15,2025,2025,1,2025,1.0,25,0.012345679012345678,"[0.008376206977,0.018161824660]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0029629629629629637,"[-0.007555555556,0.001975308642]",0.8778365366868242,1.0,0.998102049628845,False,False,18.722813
20,predict_biglotto_echo_phase2,predict_biglotto_echo_phase2@sp20_v1,UNKNOWN,predict_biglotto_echo_phase2,,15,2025,2025,1,2025,1.0,25,0.012345679012345678,"[0.008376206977,0.018161824660]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0029629629629629637,"[-0.007802469136,0.002370370370]",0.8769620304729399,1.0,0.998102049628845,False,False,26.398324
21,biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30@sp20_v1,RETIRED,biglotto_ts3_markov_4bet_w30,,15,2025,2025,1,2025,1.0,24,0.011851851851851851,"[0.007977279385,0.017574967980]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.003456790123456791,"[-0.008148148148,0.001777777778]",0.9117595213646222,1.0,0.998102049628845,False,False,24.114648
22,fourier30_markov30_biglotto,registry::fourier30_markov30_biglotto@sp20_v1,REJECTED,fourier30_markov30_biglotto,,15,2025,2025,1,2025,1.0,24,0.011851851851851851,"[0.007977279385,0.017574967980]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.003456790123456791,"[-0.008345679012,0.001777777778]",0.9133596179097434,1.0,0.998102049628845,False,False,21.427391
23,gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto@sp20_v1,REJECTED,gap_dynamic_threshold_biglotto,,15,2025,2025,1,2025,1.0,22,0.010864197530864197,"[0.007185472653,0.016395206169]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.004444444444444445,"[-0.009037037037,0.000641975309]",0.9668259074004527,1.0,0.998102049628845,False,False,22.727478
24,ts3_regime_3bet,registry::ts3_regime_3bet@sp20_v1,ONLINE,ts3_regime_3bet,,15,2025,2025,1,2025,1.0,22,0.010864197530864197,"[0.007185472653,0.016395206169]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.004444444444444445,"[-0.008938271605,0.000395061728]",0.9673880073615264,1.0,0.998102049628845,False,False,19.211174
25,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,CANDIDATE,history::lottery_api/models/zone_split.py,zone_split_family,15,2025,2025,10,20250,1.0,213,0.010518518518518519,"[0.006320987654,0.014962962963]",draw-cluster bootstrap percentile,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.004790123456790124,"[-0.009185185185,-0.000148148148]",0.9816734398197273,1.0,0.998102049628845,False,False,8.207933
26,biglotto_p0_2bet,biglotto_p0_2bet@sp20_v1,UNKNOWN,biglotto_p0_2bet,,15,2025,2025,1,2025,1.0,21,0.01037037037037037,"[0.006792853964,0.015802040586]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.004938271604938272,"[-0.009432098765,0.000049382716]",0.9807200610157647,1.0,0.998102049628845,False,False,21.23591
27,neighbor_injection_biglotto,neighbor_injection_biglotto@sp20_v1,REJECTED,neighbor_injection_biglotto,,15,2025,2025,1,2025,1.0,21,0.01037037037037037,"[0.006792853964,0.015802040586]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.004938271604938272,"[-0.009333333333,-0.000246913580]",0.9831676872260657,1.0,0.998102049628845,False,False,28.099546
28,apriori_3bet_biglotto,apriori_3bet_biglotto@sp20_v1,REJECTED,apriori_3bet_biglotto,,15,2025,2025,1,2025,1.0,20,0.009876543209876543,"[0.006402623495,0.015206486783]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0054320987654320994,"[-0.010123456790,-0.000839506173]",0.9901325371190466,1.0,0.998102049628845,False,False,23.18687
29,hot_stop_rebound_biglotto,hot_stop_rebound_biglotto@sp20_v1,REJECTED,hot_stop_rebound_biglotto,,15,2025,2025,1,2025,1.0,20,0.009876543209876543,"[0.006402623495,0.015206486783]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0054320987654320994,"[-0.010172839506,-0.000592592593]",0.9904097029952091,1.0,0.998102049628845,False,False,20.923638
30,markov_single_biglotto,registry::markov_single_biglotto@sp20_v1,REJECTED,markov_single_biglotto,,15,2025,2025,1,2025,1.0,20,0.009876543209876543,"[0.006402623495,0.015206486783]",Wilson score,310,0.015308641975308642,"[0.013629629630,0.016938271605]",-0.0054320987654320994,"[-0.009827160494,-0.000740740741]",0.99094690796367,1.0,0.998102049628845,False,False,18.35602
