rank,strategy_id,effective_strategy_id,governance_status,independent_algorithm_id,equivalence_group,ticket_count,evaluated_draws,common_window_draws,strategy_replicates,complete_portfolios,completion_rate,m4plus_hits,m4plus_rate,m4plus_confidence_interval_95,confidence_method,random_m4plus_hits,random_m4plus_rate,random_confidence_interval_95,paired_difference_vs_random,paired_difference_interval_95,paired_p_value,multiplicity_adjusted_p_value,bh_fdr_adjusted_p_value,credible_advantage_unadjusted,credible_advantage_adjusted,runtime_seconds
11,biglotto_triple_strike,registry::biglotto_triple_strike@sp20_v1,ONLINE,biglotto_triple_strike,,10,2025,2025,1,2025,1.0,18,0.008888888888888889,"[0.005630033635,0.014007508100]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0014814814814814818,"[-0.005629629630,0.002962962963]",0.7549715287697555,1.0,0.998102049628845,False,False,22.027415
12,cold_complement_biglotto,registry::cold_complement_biglotto@sp20_v1,REJECTED,cold_complement_biglotto,,10,2025,2025,1,2025,1.0,18,0.008888888888888889,"[0.005630033635,0.014007508100]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0014814814814814818,"[-0.005629629630,0.003209876543]",0.7571984147488666,1.0,0.998102049628845,False,False,23.154501
13,predict_biglotto_echo_2bet,predict_biglotto_echo_2bet@sp20_v1,UNKNOWN,predict_biglotto_echo_2bet,,10,2025,2025,1,2025,1.0,18,0.008888888888888889,"[0.005630033635,0.014007508100]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.001481481481481482,"[-0.005530864198,0.003012345679]",0.752802657700273,1.0,0.998102049628845,False,False,19.295731
14,predict_biglotto_regime,predict_biglotto_regime@sp20_v1,DELETED,predict_biglotto_regime,,10,2025,2025,1,2025,1.0,18,0.008888888888888889,"[0.005630033635,0.014007508100]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.001481481481481482,"[-0.005629629630,0.002913580247]",0.7528026577002728,1.0,0.998102049628845,False,False,22.631092
15,fourier30_markov30_biglotto,registry::fourier30_markov30_biglotto@sp20_v1,REJECTED,fourier30_markov30_biglotto,,10,2025,2025,1,2025,1.0,17,0.008395061728395062,"[0.005248085737,0.013403671726]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.001975308641975309,"[-0.006123456790,0.002370370370]",0.8245645893353752,1.0,0.998102049628845,False,False,21.427391
16,neighbor_injection_biglotto,neighbor_injection_biglotto@sp20_v1,REJECTED,neighbor_injection_biglotto,,10,2025,2025,1,2025,1.0,17,0.008395061728395062,"[0.005248085737,0.013403671726]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.001975308641975309,"[-0.006123456790,0.002419753086]",0.823296963957561,1.0,0.998102049628845,False,False,28.099546
17,biglotto_10bet_combined,biglotto_10bet_combined@sp20_v1,DELETED,biglotto_10bet_combined,,10,2025,2025,1,2025,1.0,16,0.007901234567901235,"[0.004869358197,0.012796614994]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.002469135802469136,"[-0.006567901235,0.001777777778]",0.8838473090229857,1.0,0.998102049628845,False,False,33.78829
18,biglotto_deviation_2bet,registry::biglotto_deviation_2bet@sp20_v1,ONLINE,biglotto_deviation_2bet,,10,2025,2025,1,2025,1.0,16,0.007901234567901235,"[0.004869358197,0.012796614994]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.002469135802469136,"[-0.006320987654,0.001925925926]",0.8851651362956934,1.0,0.998102049628845,False,False,18.722813
19,markov_2bet_biglotto,registry::markov_2bet_biglotto@sp20_v1,REJECTED,markov_2bet_biglotto,,10,2025,2025,1,2025,1.0,16,0.007901234567901235,"[0.004869358197,0.012796614994]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.002469135802469136,"[-0.006222222222,0.001925925926]",0.8851651362956935,1.0,0.998102049628845,False,False,18.77535
20,ts3_regime_3bet,registry::ts3_regime_3bet@sp20_v1,ONLINE,ts3_regime_3bet,,10,2025,2025,1,2025,1.0,16,0.007901234567901235,"[0.004869358197,0.012796614994]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.002469135802469136,"[-0.006567901235,0.001925925926]",0.8838473090229857,1.0,0.998102049628845,False,False,19.211174
21,biglotto_5bet_orthogonal,biglotto_5bet_orthogonal@sp20_v1,UNKNOWN,biglotto_5bet_orthogonal,,10,2025,2025,1,2025,1.0,15,0.007407407407407408,"[0.004494137788,0.012186051132]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0029629629629629632,"[-0.006765432099,0.001086419753]",0.9297972660504097,1.0,0.998102049628845,False,False,25.641561
22,cluster_pivot_biglotto,cluster_pivot_biglotto@sp20_v1,REJECTED,cluster_pivot_biglotto,,10,2025,2025,1,2025,1.0,15,0.007407407407407408,"[0.004494137788,0.012186051132]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0029629629629629632,"[-0.006864197531,0.001086419753]",0.9309896410063548,1.0,0.998102049628845,False,False,32.02054
23,gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto@sp20_v1,REJECTED,gap_dynamic_threshold_biglotto,,10,2025,2025,1,2025,1.0,15,0.007407407407407408,"[0.004494137788,0.012186051132]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0029629629629629632,"[-0.006765432099,0.001382716049]",0.9309896410063544,1.0,0.998102049628845,False,False,22.727478
24,predict_biglotto_echo_phase2,predict_biglotto_echo_phase2@sp20_v1,UNKNOWN,predict_biglotto_echo_phase2,,10,2025,2025,1,2025,1.0,15,0.007407407407407408,"[0.004494137788,0.012186051132]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0029629629629629632,"[-0.006814814815,0.001185185185]",0.928611015401518,1.0,0.998102049628845,False,False,26.398324
25,biglotto_p0_2bet,biglotto_p0_2bet@sp20_v1,UNKNOWN,biglotto_p0_2bet,,10,2025,2025,1,2025,1.0,14,0.006913580246913581,"[0.004122756912,0.011571647736]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0034567901234567907,"[-0.007160493827,0.000888888889]",0.9612210301134004,1.0,0.998102049628845,False,False,21.23591
26,hot_stop_rebound_biglotto,hot_stop_rebound_biglotto@sp20_v1,REJECTED,hot_stop_rebound_biglotto,,10,2025,2025,1,2025,1.0,14,0.006913580246913581,"[0.004122756912,0.011571647736]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0034567901234567907,"[-0.007160493827,0.000493827160]",0.9621635548915757,1.0,0.998102049628845,False,False,20.923638
27,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,CANDIDATE,history::lottery_api/models/zone_split.py,zone_split_family,10,2025,2025,10,20250,1.0,132,0.006518518518518518,"[0.003506172840,0.009827160494]",draw-cluster bootstrap percentile,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0038518518518518524,"[-0.007111111111,-0.000296296296]",0.9854497868782653,1.0,0.998102049628845,False,False,8.207933
28,apriori_3bet_biglotto,apriori_3bet_biglotto@sp20_v1,REJECTED,apriori_3bet_biglotto,,10,2025,2025,1,2025,1.0,13,0.006419753086419753,"[0.003755604476,0.010953015900]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.003950617283950618,"[-0.007456790123,0.000049382716]",0.9830423661699198,1.0,0.998102049628845,False,False,23.18687
29,biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30@sp20_v1,RETIRED,biglotto_ts3_markov_4bet_w30,,10,2025,2025,1,2025,1.0,13,0.006419753086419753,"[0.003755604476,0.010953015900]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.003950617283950618,"[-0.007555555556,-0.000000000000]",0.9817670782922991,1.0,0.998102049628845,False,False,24.114648
30,markov_single_biglotto,registry::markov_single_biglotto@sp20_v1,REJECTED,markov_single_biglotto,,10,2025,2025,1,2025,1.0,12,0.005925925925925926,"[0.003393140346,0.010329695758]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.004444444444444445,"[-0.008000000000,-0.000740740741]",0.9936351323888026,1.0,0.998102049628845,False,False,18.35602
