strategy_id,execution_strategy_id,effective_strategy_id,strategy_name,governance_status,independent_algorithm_id,alias_of,equivalence_group,terminal_disposition,ranking_group,strategy_replicates,minimum_history,nested_prefix_supported
biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30@sp20_v1,大樂透 TS3+Markov 4注 w30,RETIRED,biglotto_ts3_markov_4bet_w30,,,COMPLETE_ADAPTER_20,adapter,1,100,True
biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet@sp20_v1,大樂透 TS3+Markov 頻率正交 5注,REJECTED,biglotto_ts3_markov_freq_5bet,,ts3_markov_freq_aliases,COMPLETE_ADAPTER_20,adapter,1,100,True
cluster_pivot_biglotto,cluster_pivot_biglotto,cluster_pivot_biglotto@sp20_v1,cluster_pivot_biglotto,REJECTED,cluster_pivot_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,100,True
cold_complement_biglotto,registry::cold_complement_biglotto,registry::cold_complement_biglotto@sp20_v1,大樂透 Cold Complement,REJECTED,cold_complement_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,100,True
coldpool15_biglotto,registry::coldpool15_biglotto,registry::coldpool15_biglotto@sp20_v1,大樂透 ColdPool-15,REJECTED,coldpool15_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,100,True
fourier30_markov30_biglotto,registry::fourier30_markov30_biglotto,registry::fourier30_markov30_biglotto@sp20_v1,大樂透 Fourier30+Markov30,REJECTED,fourier30_markov30_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,30,True
gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto@sp20_v1,gap_dynamic_threshold_biglotto,REJECTED,gap_dynamic_threshold_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,100,True
history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,core_satellite,CANDIDATE,history::lottery_api/models/core_satellite.py,,core_satellite_family,COMPLETE_NATIVE_20,native,10,0,True
history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py@sp20_v1,social_wisdom_predictor,CANDIDATE,history::lottery_api/models/social_wisdom_predictor.py,,social_wisdom_family,COMPLETE_ADAPTER_20,adapter,10,1,True
history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,zone_split,CANDIDATE,history::lottery_api/models/zone_split.py,,zone_split_family,COMPLETE_NATIVE_20,native,10,0,True
hot_stop_rebound_biglotto,hot_stop_rebound_biglotto,hot_stop_rebound_biglotto@sp20_v1,hot_stop_rebound_biglotto,REJECTED,hot_stop_rebound_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,100,True
markov_2bet_biglotto,registry::markov_2bet_biglotto,registry::markov_2bet_biglotto@sp20_v1,大樂透 Markov 2注,REJECTED,markov_2bet_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,100,True
markov_repeat_exception_biglotto,markov_repeat_exception_biglotto,markov_repeat_exception_biglotto@sp20_v1,markov_repeat_exception_biglotto,REJECTED,markov_repeat_exception_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,100,True
markov_single_biglotto,registry::markov_single_biglotto,registry::markov_single_biglotto@sp20_v1,大樂透 Markov Single,REJECTED,markov_single_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,100,True
neighbor_injection_biglotto,neighbor_injection_biglotto,neighbor_injection_biglotto@sp20_v1,neighbor_injection_biglotto,REJECTED,neighbor_injection_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,100,True
predict_biglotto_echo_2bet,predict_biglotto_echo_2bet,predict_biglotto_echo_2bet@sp20_v1,Echo-aware deviation 2-bet,UNKNOWN,predict_biglotto_echo_2bet,,,COMPLETE_ADAPTER_20,adapter,1,10,True
predict_biglotto_echo_phase2,predict_biglotto_echo_phase2,predict_biglotto_echo_phase2@sp20_v1,Adaptive echo phase 2 (3-bet version),UNKNOWN,predict_biglotto_echo_phase2,,,COMPLETE_ADAPTER_20,adapter,1,60,True
predict_biglotto_mixed_3bet,predict_biglotto_mixed_3bet,predict_biglotto_mixed_3bet@sp20_v1,Deterministic mixed 3-bet,UNKNOWN,predict_biglotto_mixed_3bet,,,COMPLETE_ADAPTER_20,adapter,1,50,True
predict_biglotto_regime,predict_biglotto_regime,predict_biglotto_regime@sp20_v1,Deleted Big Lotto sum-regime 3-bet,DELETED,predict_biglotto_regime,,,COMPLETE_ADAPTER_20,adapter,1,100,True
ts3_regime_3bet,registry::ts3_regime_3bet,registry::ts3_regime_3bet@sp20_v1,大樂透 TS3+Regime 3注,ONLINE,ts3_regime_3bet,,,COMPLETE_ADAPTER_20,adapter,1,100,True
